NewGame,NewGame,NewGame,NewGame,NewGame,NewGame
Null.Crisis.MainMenu,00-10-18-00-00-00,39:14:14:14:11:2015,17:15:14:14:11:2015,0/15,not yet rated,38:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,49:15:14:14:11:2015,52:15:14:14:11:2015,0/15,not yet rated,3:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,49:15:14:14:11:2015,16:16:14:14:11:2015,0/15,not yet rated,27:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,21:16:14:14:11:2015,24:16:14:14:11:2015,0/15,not yet rated,3:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,21:16:14:14:11:2015,33:16:14:14:11:2015,0/15,not yet rated,12:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,50:16:14:14:11:2015,54:16:14:14:11:2015,0/15,not yet rated,4:0:0:0
NewGame,NewGame,NewGame,NewGame,NewGame,NewGame
Null.Crisis.MainMenu,00-10-18-00-00-00,50:16:14:14:11:2015,15:17:14:14:11:2015,0/15,not yet rated,7:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,57:14:16:14:11:2015,1:15:16:14:11:2015,0/15,not yet rated,4:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,57:14:16:14:11:2015,35:17:16:14:11:2015,0/15,not yet rated,38:2:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,4:26:16:14:11:2015,6:26:16:14:11:2015,0/15,not yet rated,2:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,4:26:16:14:11:2015,55:26:16:14:11:2015,0/15,not yet rated,51:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,58:50:16:14:11:2015,3:51:16:14:11:2015,0/15,not yet rated,5:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,58:50:16:14:11:2015,20:52:16:14:11:2015,0/15,not yet rated,22:1:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,28:53:16:14:11:2015,31:53:16:14:11:2015,0/15,not yet rated,3:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,28:53:16:14:11:2015,47:54:16:14:11:2015,0/15,not yet rated,19:1:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,32:18:18:14:11:2015,36:18:18:14:11:2015,0/15,not yet rated,4:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,32:18:18:14:11:2015,38:18:18:14:11:2015,0/15,not yet rated,6:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,32:18:18:14:11:2015,21:25:18:14:11:2015,0/15,not yet rated,49:6:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,14:26:18:14:11:2015,17:26:18:14:11:2015,0/15,not yet rated,3:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,15:28:18:14:11:2015,17:28:18:14:11:2015,0/15,not yet rated,2:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,45:28:18:14:11:2015,50:28:18:14:11:2015,0/15,not yet rated,5:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,45:28:18:14:11:2015,5:29:18:14:11:2015,0/15,not yet rated,20:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,8:29:18:14:11:2015,10:29:18:14:11:2015,0/15,not yet rated,2:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,8:29:18:14:11:2015,52:30:18:14:11:2015,0/15,not yet rated,44:1:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,18:34:18:14:11:2015,21:34:18:14:11:2015,0/15,not yet rated,3:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,18:34:18:14:11:2015,20:38:18:14:11:2015,0/15,not yet rated,2:4:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,38:2:23:14:11:2015,40:2:23:14:11:2015,0/15,not yet rated,2:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,38:2:23:14:11:2015,47:2:23:14:11:2015,0/15,not yet rated,9:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,7:3:23:14:11:2015,12:3:23:14:11:2015,0/15,not yet rated,5:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,37:6:23:14:11:2015,46:6:23:14:11:2015,0/15,not yet rated,9:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,37:6:23:14:11:2015,10:7:23:14:11:2015,0/15,not yet rated,33:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,16:7:23:14:11:2015,19:7:23:14:11:2015,0/15,not yet rated,3:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,16:7:23:14:11:2015,56:7:23:14:11:2015,0/15,not yet rated,40:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,14:8:23:14:11:2015,19:8:23:14:11:2015,0/15,not yet rated,5:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,14:8:23:14:11:2015,24:8:23:14:11:2015,0/15,not yet rated,10:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,16:28:23:14:11:2015,18:28:23:14:11:2015,0/15,not yet rated,2:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,16:28:23:14:11:2015,7:29:23:14:11:2015,0/15,not yet rated,51:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,25:29:23:14:11:2015,27:29:23:14:11:2015,0/15,not yet rated,2:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,25:29:23:14:11:2015,40:30:23:14:11:2015,0/15,not yet rated,15:1:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,0:19:0:15:11:2015,2:19:0:15:11:2015,0/15,not yet rated,2:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,32:34:0:15:11:2015,36:34:0:15:11:2015,0/15,not yet rated,4:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,32:34:0:15:11:2015,43:34:0:15:11:2015,0/15,not yet rated,11:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,9:35:0:15:11:2015,11:35:0:15:11:2015,0/15,not yet rated,2:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,9:35:0:15:11:2015,14:35:0:15:11:2015,0/15,not yet rated,5:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,52:37:0:15:11:2015,54:37:0:15:11:2015,0/15,not yet rated,2:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,52:37:0:15:11:2015,1:38:0:15:11:2015,0/15,not yet rated,9:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,3:38:0:15:11:2015,5:38:0:15:11:2015,0/15,not yet rated,2:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,3:38:0:15:11:2015,7:38:0:15:11:2015,0/15,not yet rated,4:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,43:38:0:15:11:2015,45:38:0:15:11:2015,0/15,not yet rated,2:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,43:38:0:15:11:2015,48:38:0:15:11:2015,0/15,not yet rated,5:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,35:54:0:15:11:2015,38:54:0:15:11:2015,0/15,not yet rated,3:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,35:54:0:15:11:2015,42:55:0:15:11:2015,0/15,not yet rated,7:1:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,27:58:0:15:11:2015,29:58:0:15:11:2015,0/15,not yet rated,2:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,27:58:0:15:11:2015,54:59:0:15:11:2015,0/15,not yet rated,27:1:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,15:0:1:15:11:2015,17:0:1:15:11:2015,0/15,not yet rated,2:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,15:0:1:15:11:2015,3:1:1:15:11:2015,0/15,not yet rated,48:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,37:13:1:15:11:2015,41:13:1:15:11:2015,0/15,not yet rated,4:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,28:42:1:15:11:2015,32:42:1:15:11:2015,0/15,not yet rated,4:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,40:42:1:15:11:2015,46:42:1:15:11:2015,0/15,not yet rated,6:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,11:43:1:15:11:2015,14:43:1:15:11:2015,0/15,not yet rated,3:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,37:40:4:15:11:2015,40:40:4:15:11:2015,0/15,4/5,3:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,37:40:4:15:11:2015,8:41:4:15:11:2015,0/15,4/5,31:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,37:4:5:15:11:2015,40:4:5:15:11:2015,0/15,4/5,3:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,37:4:5:15:11:2015,24:5:5:15:11:2015,0/15,5/5,47:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,4:24:6:15:11:2015,8:24:6:15:11:2015,0/15,5/5,4:0:0:0
GameName,MacAddress,NewGameTime,SessionEndTime,Progress,Rating,TotalPlayTime
Null.Crisis.MainMenu,00-10-18-00-00-00,4:24:6:15:11:2015,53:25:6:15:11:2015,0/15,not yet rated,38:1:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,0:26:6:15:11:2015,3:26:6:15:11:2015,0/15,not yet rated,3:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,0:26:6:15:11:2015,24:29:6:15:11:2015,0/15,not yet rated,24:3:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,14:30:6:15:11:2015,0:41:6:15:11:2015,0/15,not yet rated,46:10:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,13:56:6:15:11:2015,16:56:6:15:11:2015,0/15,not yet rated,3:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,19:56:6:15:11:2015,21:56:6:15:11:2015,0/15,not yet rated,2:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,19:56:6:15:11:2015,34:57:6:15:11:2015,0/15,not yet rated,15:1:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,33:59:6:15:11:2015,35:59:6:15:11:2015,0/15,not yet rated,2:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,33:59:6:15:11:2015,18:6:7:15:11:2015,0/15,not yet rated,45:6:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,21:6:7:15:11:2015,24:6:7:15:11:2015,0/15,not yet rated,3:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,21:6:7:15:11:2015,8:13:7:15:11:2015,0/15,not yet rated,47:6:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,33:16:7:15:11:2015,35:16:7:15:11:2015,0/15,not yet rated,2:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,33:16:7:15:11:2015,56:18:7:15:11:2015,0/15,not yet rated,23:2:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,40:25:7:15:11:2015,42:25:7:15:11:2015,0/15,not yet rated,2:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,37:26:7:15:11:2015,39:26:7:15:11:2015,0/15,not yet rated,2:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,45:26:7:15:11:2015,48:26:7:15:11:2015,0/15,not yet rated,3:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,45:26:7:15:11:2015,55:27:7:15:11:2015,0/15,not yet rated,10:1:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,55:28:7:15:11:2015,57:28:7:15:11:2015,0/15,not yet rated,2:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,55:28:7:15:11:2015,45:31:7:15:11:2015,0/15,not yet rated,50:2:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,56:33:7:15:11:2015,59:33:7:15:11:2015,0/15,not yet rated,3:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,56:33:7:15:11:2015,34:34:7:15:11:2015,0/15,not yet rated,38:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,33:38:7:15:11:2015,42:38:7:15:11:2015,0/15,not yet rated,9:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,33:38:7:15:11:2015,29:44:7:15:11:2015,0/15,not yet rated,56:5:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,57:44:7:15:11:2015,1:45:7:15:11:2015,0/15,not yet rated,4:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,57:44:7:15:11:2015,51:24:8:15:11:2015,0/15,not yet rated,54:39:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,55:24:8:15:11:2015,3:25:8:15:11:2015,0/15,not yet rated,8:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,55:24:8:15:11:2015,30:36:8:15:11:2015,0/15,not yet rated,35:11:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,11:45:8:15:11:2015,17:45:8:15:11:2015,0/15,not yet rated,6:0:0:0
Null.Crisis.MainMenu,00-10-18-00-00-00,11:45:8:15:11:2015,53:51:8:15:11:2015,0/15,not yet rated,42:6:0:0
